Event,Event_name,Event_order,Event_year,Date,Race_time_clock,Distance,Laps,Rang,Participant,UCI_Class_code,Year_of_birth,Age,Team,Time,Time_seconds,Time_min,Time_hours,Velocity,Gender_name,Gender,Class_number,Class,Discipline
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,3,7,MC5,1976,35,ITA,1:50:34,6634,110.5666667,1.842777778,39.88543865,Men,1,5,C5,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,2,36,MC3,1984,27,ITA,1:30:31,5431,90.51666667,1.508611111,35.59565458,Men,1,3,C3,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,10:45,28.8,NA,7,40,MT2,1963,48,INDE,1:06:04,3964,66.06666667,1.101111111,26.15539859,Men,1,2,T2,T
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,5,47,MC2,1982,29,USA,1:40:39,6039,100.65,1.6775,32.0119225,Men,1,2,C2,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,2,70,MC4,1979,32,CZE,1:50:33,6633,110.55,1.8425,39.89145183,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,10:45,28.8,NA,2,92,WT2,1990,21,RSA ,1:20:59,4859,80.98333333,1.349722222,21.33772381,Women,2,2,T2,T
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,10:45,28.8,NA,1,118,WT2,1961,50,AUS ,1:10:36,4236,70.6,1.176666667,24.47592068,Women,2,2,T2,T
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,9,128,MC4,1978,33,GBR,1:58:15,7095,118.25,1.970833333,37.29386892,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,7,159,MC4,1975,36,ITA,1:54:38,6878,114.6333333,1.910555556,38.47048561,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,4,160,MC3,1977,34,USA,1:30:50,5450,90.83333333,1.513888889,35.47155963,Men,1,3,C3,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,10:45,28.8,NA,2,161,MT2,1976,35,ITA,1:00:22,3622,60.36666667,1.006111111,28.62506902,Men,1,2,T2,T
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,10:45,28.8,NA,5,173,MT2,1991,20,RSA,1:02:56,3776,62.93333333,1.048888889,27.45762712,Men,1,2,T2,T
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,3,175,MC3,1985,26,JPN,1:30:49,5449,90.81666667,1.513611111,35.47806937,Men,1,3,C3,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,2,178,MC5,1978,33,AUS,1:48:56,6536,108.9333333,1.815555556,40.48347613,Men,1,5,C5,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,1,179,MC3,NA,NA,INDE,1:30:28,5428,90.46666667,1.507777778,35.61532793,Men,1,3,C3,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,6,189,MC4,1966,45,AUT,1:54:38,6878,114.6333333,1.910555556,38.47048561,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,7,204,MC5,NA,NA,INDE,1:54:47,6887,114.7833333,1.913055556,38.42021199,Men,1,5,C5,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:32,53.7,NA,2,209,WC4,1987,24,INDE,1:50:14,6614,110.2333333,1.837222222,29.22890838,Women,2,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:32,38.7,4.5,2,239,WC2,1974,37,INDE,1:24:00,5040,84,1.4,27.64285714,Women,2,2,C2,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,3,240,MC4,NA,NA,AUS,1:54:32,6872,114.5333333,1.908888889,38.50407451,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:32,38.7,4.5,1,263,WC2,1984,27,USA,1:17:32,4652,77.53333333,1.292222222,29.94840929,Women,2,2,C2,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,8,270,MC5,1955,56,USA,2:00:16,7216,120.2666667,2.004444444,36.66851441,Men,1,5,C5,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,5,278,MC4,1979,32,USA,1:54:34,6874,114.5666667,1.909444444,38.49287169,Men,1,4,C4,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,4,308,MC1,NA,NA,INDE,1:49:13,6553,109.2166667,1.820277778,29.50099191,Men,1,1,C1,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,2,326,MC2,1970,41,IRL,1:36:48,5808,96.8,1.613333333,33.28512397,Men,1,2,C2,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:30,53.7,NA,1,327,MC2,1970,41,ITA,1:33:01,5581,93.01666667,1.550277778,34.63895359,Men,1,2,C2,C
SydneyWCup2011,SydneyWCup,1,2011,5/05/2011,8:32,53.7,NA,3,356,WC5,1973,38,AUS,1:36:58,5818,96.96666667,1.616111111,33.22791337,Women,2,5,C5,C
SydneyWCup2011,SydneyWCup,1,2011,4/05/2011,8:30,73.5,8.5,4,370,MC5,1969,42,IRL,1:50:34,6634,110.5666667,1.842777778,39.88543865,Men,1,5,C5,C
