Event,Date,Race_time,Distance,Laps,Rang,Bib,ID,UCI_Class_code,NOC,Team,Time,Lapped,Velocity,Gender,Class
2014-Greenville-Wch,31/8/14,8:02,61.2,6,13,68,14,MC2,GHANA,GHA,- 2 laps,1,- 2 laps,M,C2
2014-Greenville-Wch,31/8/14,10:30,81.6,8,18,157,145,MC5,CHINA,CHN,- 2 laps,1,- 2 laps,M,C5
2014-Greenville-Wch,31/8/14,10:32,51,5,7,435,174,WC2,JAPAN,JPN,- 2 laps,1,- 2 laps,W,C2
2014-Greenville-Wch,31/8/14,8:02,61.2,6,7,455,116,WC4,USA,USA,- 2 laps,1,- 2 laps,W,C4
2013-Matane-Wcup,25/3/13,8:00,66.4,8,17,26,468,MC2,INDEPENDANT,USA,- 4 laps,1,- 4 laps,M,C2
2013-Matane-Wcup,25/3/13,10:30,83,10,15,92,482,MC3,INDEPENDANT,USA,- 4 laps,1,- 4 laps,M,C3
2013-Matane-Wcup,25/3/13,8:00,66.4,8,5,31,83,WC4,SOUTH AFRICA,RSA,- 4 laps,1,- 4 laps,W,C4
2016-Basque-WCup-V2,17/7/16,11:47,70,7,14,121,68,MC3,FRA,INDEPENDANT,- 6 laps,1,- 6 laps,M,C3
2018-Maniago-Wch,5/8/18,9:04,68,5,18,57,157,MC1,RUS,RUSSIA,-1 Lap,1,-1 Lap,M,C1
2018-Emmen-Wcup,8/7/18,16:45,63,10,12,72,157,MC1,RUS,RUSSIA,-1 Lap,1,-1 Lap,M,C1
2011-Roskilde-Wchamp,10/9/11,16:00,61.5,4,11,13,170,MC1,POL,POLAND,-1 Lap,1,-1 Lap,M,C1
2018-Emmen-Wcup,8/7/18,16:45,63,10,11,33,231,MC1,BEL,BELGIUM,-1 Lap,1,-1 Lap,M,C1
2017-PMB-WCh,3/9/17,8:00,60.7,10,10,31,285,MC1,USA,USA,-1 Lap,1,-1 Lap,M,C1
2014-Segovia_Wcup,27/7/14,11:02,64,8,11,51,285,MC1,USA,USA,-1 Lap,1,-1 Lap,M,C1
2017-PMB-WCh,3/9/17,8:00,60.7,10,9,32,318,MC1,USA,USA,-1 Lap,1,-1 Lap,M,C1
2018-BaieComeau-Wcup,19/8/18,8:00,56.7,6,11,24,322,MC1,CUB,CUBA,-1 Lap,1,-1 Lap,M,C1
2018-Emmen-Wcup,8/7/18,16:45,63,10,13,31,324,MC1,ARG,ARGENTINA,-1 Lap,1,-1 Lap,M,C1
2017-PMB-WCh,3/9/17,8:00,60.7,10,11,21,324,MC1,ARG,ARGENTINA,-1 Lap,1,-1 Lap,M,C1
2014-Segovia_Wcup,27/7/14,11:02,64,8,9,41,324,MC1,ARGENTINA,ARG,-1 Lap,1,-1 Lap,M,C1
2011-Roskilde-Wchamp,10/9/11,16:00,61.5,4,10,7,361,MC1,DEN,DENMARK,-1 Lap,1,-1 Lap,M,C1
2016-Ostend-Wcup,22/5/16,9:02,66.8,8,8,49,452,MC1,ITA,ITALY,-1 Lap,1,-1 Lap,M,C1
2012-Segovia-Wcup,17/6/12,11:00,60,5,7,2,514,MC1,AUSTRIA,AUT,-1 Lap,1,-1 Lap,M,C1
2016-PMB-Wcup,8/5/16,14:47,61.5,10,3,10,514,MC1,AUT,AUSTRIA,-1 Lap,1,-1 Lap,M,C1
2016-Ostend-Wcup,22/5/16,9:02,66.8,8,9,40,514,MC1,AUT,AUSTRIA,-1 Lap,1,-1 Lap,M,C1
2015-PMB-Wcup,13/9/15,8:02,55.4,9,6,21,514,MC1,AUT,AUSTRIA,-1 Lap,1,-1 Lap,M,C1
2016-Basque-WCup-V2,17/7/16,8:32,60,6,7,32,514,MC1,AUT,AUSTRIA,-1 Lap,1,-1 Lap,M,C1
2018-Emmen-Wcup,8/7/18,16:45,63,10,10,43,612,MC1,POR,INDIVIDUAL,-1 Lap,1,-1 Lap,M,C1
2016-Basque-WCup-V2,17/7/16,8:32,60,6,8,68,612,MC1,POR,INDEPENDANT,-1 Lap,1,-1 Lap,M,C1
2017-PMB-WCh,3/9/17,8:00,60.7,10,8,29,634,MC1,GER,GERMANY,-1 Lap,1,-1 Lap,M,C1
2011-Baie-ComeauWCup,10/7/11,8:00,57,5,7,7,639,MC1,USA,USA,-1 Lap,1,-1 Lap,M,C1
2018-Emmen-Wcup,8/7/18,16:45,63,10,14,32,643,MC1,AUT,AUSTRIA,-1 Lap,1,-1 Lap,M,C1
